,pid,workload,n_ica,alpha,theta,beta,interval,alpha_theta_ratio,beta_theta_ratio
0,1,low,0,1.285121416287662,3.164314139347315,-1.4396459076709391,0.0,0.40612953066434065,-0.4549630170308839
1,1,high,0,2.075274968646001,3.7035053426442475,5.764936089794545,1.0,0.5603542526994941,1.5566161126902727
2,1,low,0,8.538782346902737,4.835963947522903,5.4805791954662695,2.0,1.7656836236913027,1.1332961235729546
3,1,high,0,1.9406134467297922,2.877173535913698,7.19103358865417,3.0,0.6744860615831835,2.4993395423993876
4,1,low,0,1.9040739600998757,4.52995881959211,1.915913564491469,4.0,0.42032919854916556,0.42294282151200285
5,1,high,0,0.23325869839903843,1.946110831449943,-2.5439229244592587,5.0,0.11985889736056289,-1.3071829637595296
6,1,low,0,1.977867965571422,3.5990057470947563,4.646181384117965,6.0,0.5495595463185983,1.2909624798094657
7,1,high,0,2.0833056401121146,4.365832604121129,7.070068185071037,7.0,0.4771840400260829,1.619408902301303
8,1,low,1,-0.868915841320299,-1.3007856613500377,-21.015405092515824,8.0,0.6679930961250626,16.155932308405603
9,4,low,0,5.103104393441361,6.020814263906347,7.710586299150953,0.0,0.8475771166092128,1.2806550677662443
10,4,high,0,5.395140635138833,7.284664490153175,11.261975807526658,1.0,0.7406162140248944,1.5459841455635595
11,5,low,0,4.149842723308976,5.478948622066282,7.111791054409035,0.0,0.7574158857039877,1.2980211250323712
12,5,high,0,10.723285010127018,15.611430528534859,33.64945934411561,1.0,0.6868867648308591,2.15543727928139
13,5,low,0,6.375570338549562,12.488514126669443,18.729955303880658,2.0,0.5105147236799308,1.4997745219251108
14,5,high,0,15.199085476575574,22.3731140171321,53.36438321480515,3.0,0.6793459982788694,2.3852014151423733
15,5,low,0,4.517421490979871,7.139928714654626,11.539017558230904,4.0,0.6326984023955186,1.6161250370115314
16,5,high,0,23.36711937926679,29.894554840071436,89.11509268281746,5.0,0.7816513577230091,2.980980755845385
17,5,low,0,10.142220298036333,14.849850921729498,36.49596454214334,6.0,0.6829846542900588,2.4576653822658585
18,5,high,0,6.179368575577703,13.735995024816106,22.276516006193393,7.0,0.4498668326840364,1.6217620904745214
19,5,low,0,10.585273451928549,17.69243353658544,37.55379533346226,8.0,0.5982938090477891,2.1225907253406575
20,5,high,0,8.058116795111346,11.181065267202726,28.18435361632596,9.0,0.7206931184587676,2.5207216792659963
21,6,low,0,-274.07330111241953,-inf,-inf,0.0,0.0,
22,6,high,0,9.729347259537503,13.20219958301379,34.64416419692215,1.0,0.7369489605395356,2.624120623164644
23,6,low,0,7.175224293222493,11.052453245375727,27.265631287630043,2.0,0.649197434626069,2.466930253610238
24,6,high,0,11.945476167159438,11.035469290605452,25.006736784952583,3.0,1.082462000716968,2.26603292768355
25,6,low,0,15.678249272313284,10.431499558014096,23.114629970852594,4.0,1.5029717621248735,2.2158492019581755
26,6,high,0,16.064902963011896,9.399681245194893,22.267628172476506,5.0,1.709090185502222,2.3689769463043966
27,6,low,0,18.172704288154243,10.258748628061209,25.2793043926487,6.0,1.7714347964863513,2.4641703690351764
28,6,high,0,14.888044862414626,11.057933202774725,23.95241278114358,7.0,1.3463677695827305,2.1660840540376287
29,6,low,0,12.324328603018854,12.192423281240268,26.193930034260447,8.0,1.0108186304507276,2.148377679321832
30,6,high,0,17.195919101328187,13.475298919378847,34.687521861713655,9.0,1.2761066900414884,2.5741560220107234
31,6,low,0,11.79132864157051,9.460918933229237,18.925888484460184,10.0,1.2463195937718334,2.0004281421318897
32,6,high,0,11.250519692590391,11.070637011560923,23.619969906804204,11.0,1.0162486296715916,2.1335691778294397
33,6,low,0,12.886741293113717,10.434090928334259,22.746438886868344,12.0,1.235061241235609,2.1800115643136033
34,6,high,0,13.361226988722233,12.695242838850175,28.160683658481258,13.0,1.0524593470425003,2.2182075613633403
35,7,low,0,4.445622015782984,10.02334677729819,10.853554441929566,0.0,0.4435267096467063,1.0828273911974897
36,7,high,0,13.126561150045633,15.573788991951922,29.672883270545682,1.0,0.8428623989209727,1.9053091887837803
37,7,low,0,5.5176877144445395,11.48136084830431,13.032392615481083,2.0,0.4805778502519107,1.1350912829645838
38,7,high,0,9.228913429756755,16.50415711178988,26.03256401796471,3.0,0.5591872015786862,1.577333749408392
39,7,low,0,7.9494862556994885,10.828420173291764,14.825426309398146,4.0,0.7341316765031755,1.369121817600408
40,7,high,0,6.793598087081324,12.30444768998428,19.5200513556214,5.0,0.5521253987378285,1.5864223935472184
41,7,low,0,5.332867260322464,11.68759097335925,15.634752764302075,6.0,0.45628455619966746,1.337722444252199
42,7,high,0,5.7026942875631805,9.651920235213128,13.846860956684742,7.0,0.5908352067351349,1.4346223983666173
43,7,low,0,6.249917522236007,12.647171641926578,22.024266493433117,8.0,0.49417511671281,1.7414380951722501
44,9,low,0,8.538430547973492,2.5522905535154954,-5.732775518707026,0.0,3.3453991106979406,-2.246129662162001
45,9,high,0,7.873250366237372,3.8813397450856963,-2.8761445940455648,1.0,2.0284878117680827,-0.7410185098295389
46,9,low,0,11.56456902212631,3.3597907029592715,-2.035515191170975,2.0,3.4420504265162553,-0.6058458312233892
47,9,high,0,12.966439601931011,5.674481813850017,5.570312237501595,3.0,2.285043820262692,0.981642451281777
48,9,low,0,8.04912420880914,6.106679628940134,2.5640256266767554,4.0,1.318085227635584,0.41987230090237493
49,9,high,0,10.785900524548072,8.300285692839855,7.019340821072528,5.0,1.299461358764121,0.8456746045654405
50,9,low,0,13.08460988301791,4.821393488306771,0.3056906830764536,6.0,2.713864760209212,0.06340297339718053
51,9,high,0,13.00221630409921,4.8592351954521265,1.3667149661932878,7.0,2.675774228065415,0.281261332539003
52,9,low,0,12.545621575440064,3.9411967056223216,-0.2410353660760145,8.0,3.183201071274388,-0.06115791321254406
53,9,high,0,14.461627200886564,5.270417016692128,2.107096469211021,9.0,2.7439246562624215,0.3997969159817069
54,9,low,0,15.243218195669954,6.550258359211937,4.577806002439016,10.0,2.3271170936689387,0.6988741132631863
55,9,high,0,15.759169433172934,5.790905322610439,3.5758162707617633,11.0,2.7213654092464035,0.6174882978659799
56,9,low,0,12.837780587762436,2.8341932938221626,-2.220656584501311,12.0,4.5296065782618316,-0.783523336020091
57,10,low,0,9.251588829960333,6.611006797726713,15.645214022616807,6.0,1.3994220718607673,2.3665403018488247
58,10,high,0,7.105833976877995,5.469281257726135,13.50996126168857,7.0,1.299226286240079,2.470152955217623
59,10,low,0,5.3984430565349335,5.765563896619282,15.334476098424624,8.0,0.9363252499378916,2.659666317706791
60,10,high,0,7.995962730349037,7.059181090274085,16.603366697178895,9.0,1.132704010294568,2.352024474914588
61,10,low,0,4.857064674849817,5.282325333369432,12.927140360734532,10.0,0.9194936639299431,2.447244261740446
62,10,high,0,5.660912424702032,5.788136847930792,18.1971676419091,11.0,0.9780197969448077,3.143873083860211
63,10,low,0,6.784587970452634,7.200476320444933,18.828818369007305,12.0,0.9422415502136392,2.614940669347807
64,10,high,0,5.2860449111905305,6.092175643666476,17.611370286063863,13.0,0.8676776935487716,2.8908178811904297
65,10,low,0,4.934606778126057,5.714367543284794,16.938828007608723,14.0,0.8635438201599286,2.964252453014558
66,10,high,0,5.8424843660735375,6.237536680079173,18.454570000757407,15.0,0.9366653321226448,2.958631098666848
67,10,low,0,6.0230188371162265,6.247328512405764,14.772297134545887,16.0,0.9640951048365538,2.3645782521619423
68,11,high,0,34.42522557480197,23.742106595463405,64.42929256689939,1.0,1.4499650836114044,2.7137142320475647
69,11,low,0,31.95609552779749,15.454484425027394,40.19915340184681,2.0,2.0677555231830937,2.60113196249674
70,11,high,0,30.098060145469585,19.57538302146691,47.310346934502114,3.0,1.5375464231000342,2.4168286711233327
71,11,low,0,24.90805386220621,11.900978598822501,25.846284532334646,4.0,2.0929416564676995,2.1717780867946366
72,11,high,0,21.125027313870177,15.47910821611839,37.390984677523264,5.0,1.3647444684101822,2.415577445126202
73,11,low,0,26.0870105793879,15.466819735505084,27.607365159437578,6.0,1.6866434745795533,1.7849412892595553
74,11,high,0,24.284506680326587,15.064040476378802,34.6492153183235,7.0,1.6120845345845927,2.3001276033913522
75,11,low,0,20.119536823606552,12.974203734428565,23.88279080918549,8.0,1.5507338435126474,1.8407904868804945
76,11,high,0,27.63889818461955,21.877718738120898,55.43202715871723,9.0,1.2633354745739585,2.5337206233540943
77,11,low,0,31.121694311644234,20.846454917456512,43.77790270297903,10.0,1.492901044080324,2.100016663568061
78,11,high,0,32.74472288345757,21.757818559519873,56.028941370511546,11.0,1.5049635051364334,2.575117593578643
79,11,low,0,30.90894017179163,23.043033033643482,63.1732360521322,12.0,1.3413572825531996,2.7415330247497143
80,11,high,0,34.72850155966985,26.31407567446613,72.68432060707977,13.0,1.3197690083930502,2.7621840685671133
81,11,low,0,28.583361200816324,20.417306836181126,50.06806551314349,14.0,1.3999574689333798,2.452236522420225
82,11,high,0,27.60721979985538,18.9683744750732,54.19980656877137,15.0,1.4554341404496571,2.8573775069654306
83,12,high,0,3.458495338181729,10.124902196829371,14.50587678822032,1.0,0.3415830860336372,1.4326930281620753
84,12,low,0,2.8732818124325656,8.14583095898183,8.738907567783745,2.0,0.3527303508875791,1.07280737984723
85,12,high,0,1.2953182718772074,4.835412893342582,2.139941084584457,3.0,0.26788162675013905,0.4425560198862723
86,12,low,0,5.01108709672104,10.746484621834973,17.475424419743206,4.0,0.46630012260375725,1.626152647558459
87,12,high,0,1.4202379612385585,5.500684747792462,4.897497072849908,5.0,0.2581929389442886,0.8903431658786434
88,12,low,0,0.7984322344844952,5.5423201683348085,2.290293961557419,6.0,0.14406100878946232,0.4132373973345424
89,12,high,0,1.278652619840236,5.245261493385137,1.9259401274038634,7.0,0.24377290273378366,0.3671771426138982
90,12,low,0,2.3848330342872615,7.65397174913186,6.827779720338616,8.0,0.31158111271546796,0.8920570841031712
91,13,high,0,25.626124576328962,9.114503157675985,14.87729430976084,3.0,2.8115766853125,1.632266076646382
92,13,low,0,16.48323094926084,6.007698137464836,5.2873938462372765,4.0,2.7436849475623837,0.880103115245481
93,13,high,0,7.251977793666926,13.331999300113662,39.61019718121522,5.0,0.5439527583537377,2.971062050751647
94,13,low,0,2.1738176002027836,7.351081730744769,7.584155766790382,6.0,0.29571397514343034,1.0317060868838959
95,13,high,0,3.585325720551267,7.871946083389423,15.065260294999918,7.0,0.4554560819613152,1.9137910924960593
96,13,low,0,2.827933685266677,7.031359051578624,10.812073514422464,8.0,0.40218877524562935,1.5376932731084219
97,13,high,0,1.967373269055494,5.039390561179959,3.2337609896993955,9.0,0.39039904630746436,0.6416968382268469
98,13,low,0,2.040949131470877,5.875031985167161,5.545754597419359,10.0,0.3473937055361932,0.9439530901994854
99,13,high,0,6.862691461415733,10.608219030823811,22.080246469564017,11.0,0.6469221121354233,2.081428221401393
100,13,low,0,16.405031325576488,5.752565709880105,6.4200849909509135,12.0,2.8517764338442304,1.1160385321499824
101,13,high,0,20.50966787146087,8.313509608314174,17.85806087481207,13.0,2.4670288287090645,2.148077252109336
102,13,low,0,22.008694276544944,18.039340893966294,39.50117589644552,14.0,1.220038714602167,2.1897239000377042
103,14,low,0,10.914420511727116,17.394412835274363,36.89888015341645,0.0,0.6274670272050584,2.121306450689081
104,14,high,0,7.804129334464413,13.631665501898166,28.184074195084072,1.0,0.5725000612271269,2.0675444384370736
105,14,low,0,9.129772852843116,10.921125004656686,20.88958519663838,2.0,0.835973661042269,1.9127686193255014
106,14,high,0,13.355976323001828,14.539401901977145,33.66921791406727,3.0,0.9186056216786752,2.315722348213564
